"T1D"	"T1Dweek"	"Sex"	"Antibiotics"
"JP18F7W"	1	17	"M"	"Tylosin"
"JP131F7W"	0	30	"F"	"Tylosin"
"JP111F7W"	1	21	"M"	"Tylosin"
"JP107F7W"	1	13	"M"	"Tylosin"
"JP259F7W"	0	30	"M"	"Control"
"JP39F7W"	1	16	"F"	"Tylosin"
"JP222F7W"	1	21	"F"	"Tylosin"
"JP22F7W"	0	30	"M"	"Tylosin"
"JP118F7W"	1	20	"M"	"Tylosin"
"JP97F7W"	1	12	"F"	"Control"
"JP38F7W"	1	15	"F"	"Tylosin"
"JP187F7W"	1	27	"F"	"Control"
"JP132F7W"	1	16	"F"	"Tylosin"
"JP201F7W"	1	13	"F"	"Tylosin"
"JP76F7W"	1	16	"F"	"Control"
"JP102F7W"	0	30	"F"	"Tylosin"
"JP5F7W"	1	20	"F"	"Tylosin"
"JP59F7W"	1	27	"M"	"Control"
"JP151F7W"	1	20	"M"	"Control"
"JP88F7W"	1	16	"F"	"Control"
"JP30F7W"	1	15	"M"	"Tylosin"
"JP43F7W"	1	23	"M"	"Tylosin"
"JP82F7W"	0	30	"M"	"Control"
"JP67F7W"	1	22	"M"	"Control"
"JP71F7W"	1	17	"F"	"Control"
"JP162F7W"	1	17	"F"	"Control"
"JP27F7W"	1	25	"M"	"Tylosin"
"JP120F7W"	1	20	"M"	"Tylosin"
"JP84F7W"	1	30	"M"	"Control"
"JP123F7W"	1	14	"F"	"Tylosin"
"JP121F7W"	1	19	"M"	"Tylosin"
"JP156F7W"	1	20	"F"	"Control"
"JP139F7W"	1	25	"F"	"Tylosin"
"JP114F7W"	1	15	"M"	"Tylosin"
"JP21F7W"	1	18	"F"	"Tylosin"
"JP11F7W"	1	20	"F"	"Tylosin"
"JP13F7W"	1	24	"M"	"Tylosin"
"JP223F7W"	0	30	"F"	"Tylosin"
"JP86F7W"	1	11	"F"	"Control"
"JP2F7W"	1	18	"M"	"Tylosin"
"JP155F7W"	1	27	"F"	"Control"
"JP1F7W"	1	25	"M"	"Tylosin"
"JP154F7W"	1	18	"M"	"Control"
"JP159F7W"	1	16	"F"	"Control"
"JP182F7W"	0	30	"M"	"Control"
"JP12F7W"	1	19	"F"	"Tylosin"
"JP15F7W"	1	16	"F"	"Tylosin"
"JP202F7W"	1	23	"F"	"Tylosin"
"JP141F7W"	0	30	"F"	"Tylosin"
"JP406F7W"	1	21	"F"	"Tylosin"
"JP89F7W"	1	20	"F"	"Control"
"JP19F7W"	1	20	"M"	"Tylosin"
"JP101F7W"	1	21	"M"	"Tylosin"
"JP184F7W"	1	21	"F"	"Control"
"JP53F7W"	1	19	"F"	"Control"
"JP186F7W"	0	30	"F"	"Control"
"JP185F7W"	1	25	"M"	"Control"
"JP85F7W"	1	20	"M"	"Control"
"JP17F7W"	1	22	"M"	"Tylosin"
"JP98F7W"	1	20	"F"	"Control"
"JP75F7W"	0	30	"M"	"Control"
"JP33F7W"	1	28	"M"	"Tylosin"
"JP25F7W"	1	17	"F"	"Tylosin"
"JP163F7W"	1	13	"F"	"Control"
"JP169F7W"	1	28	"F"	"Control"
"JP74F7W"	0	30	"F"	"Control"
"JP55F7W"	1	12	"F"	"Control"
"JP130F7W"	1	16	"F"	"Tylosin"
"JP183F7W"	1	18	"M"	"Control"
"JP58F7W"	0	30	"F"	"Control"
"JP170F7W"	0	30	"M"	"Control"
"JP4F7W"	1	17	"M"	"Tylosin"
"JP44F7W"	1	26	"M"	"Tylosin"
"JP72F7W"	1	24	"F"	"Control"
"JP224F7W"	1	11	"F"	"Tylosin"
"JP79F7W"	1	29	"M"	"Control"
"JP152F7W"	1	21	"M"	"Control"
"JP137F7W"	1	14	"F"	"Tylosin"
"JP87F7W"	1	16	"F"	"Control"
"JP153F7W"	1	13	"F"	"Control"
"JP29F7W"	0	30	"M"	"Tylosin"
"JP99F7W"	1	14	"F"	"Control"
"JP172F7W"	0	30	"F"	"Control"
"JP157F7W"	0	30	"F"	"Control"
"JP138F7W"	0	30	"F"	"Tylosin"
"JP63F7W"	1	20	"F"	"Control"
"JP173F7W"	0	30	"F"	"Control"
"JP191F7W"	0	30	"F"	"Control"
"JP253F7W"	0	30	"M"	"Control"
"JP52F7W"	1	19	"F"	"Control"
"JP6F7W"	1	21	"M"	"Tylosin"
"JP206F7W"	1	17	"F"	"Tylosin"
"JP158F7W"	0	30	"M"	"Control"
"JP70F7W"	1	17	"F"	"Control"
"JP181F7W"	1	28	"M"	"Control"
"JP192F7W"	1	14	"F"	"Control"
"JP56F7W"	1	15	"F"	"Control"
"JP57F7W"	1	17	"M"	"Control"
"JP54F7W"	1	16	"F"	"Control"
"JP174F7W"	1	21	"F"	"Control"
"JP60F7W"	0	30	"F"	"Control"
"JP73F7W"	0	30	"F"	"Control"
"JP177F7W"	0	30	"F"	"Control"
"JP62F7W"	1	14	"F"	"Control"
"JP179F7W"	1	25	"M"	"Control"
"JP189F7W"	0	30	"M"	"Control"
"JP188F7W"	0	30	"M"	"Control"
"JP69F7W"	0	30	"M"	"Control"
"161FW6"	0	30	"M"	"Control"
"454FW6"	1	25	"F"	"Control"
"455FW6"	1	15	"F"	"Control"
"451FW8"	0	30	"M"	"Control"
"109FW7"	1	10	"M"	"Tylosin"
"113FW7"	1	16	"M"	"Tylosin"
"8FW6"	1	15	"M"	"Tylosin"
"402F7W"	1	11	"M"	"Tylosin"
"198FW7"	0	30	"M"	"Control"
"145F7W"	1	17	"F"	"Tylosin"
"454FW8"	1	25	"F"	"Control"
"199FW7"	0	30	"M"	"Control"
"171FW6"	1	28	"M"	"Control"
"144F7W"	1	18	"F"	"Tylosin"
"164FW6"	0	30	"M"	"Control"
"65FW7"	0	30	"M"	"Control"
"68FW7"	1	17	"M"	"Control"
"200FW7"	0	30	"M"	"Control"
"455FW8"	1	15	"F"	"Control"
